NameKey,IndirectName,URI,FSUID
CarlsonE,"Carlson, Elwood",http://id.loc.gov/authorities/names/n84030040,
CarrD,"Carr, Dawn C.",http://id.loc.gov/authorities/names/n2006097242,
CarrascoM,"Carrasco, Michael",http://id.loc.gov/authorities/names/no2010041982,mcarrasco
CarrollR,"Carroll, Robert J.",https://authorities.lib.fsu.edu/etd-naf/rjcarroll,rjcarroll
CaseB,"Case, Bettye Anne",http://id.loc.gov/authorities/names/n94115699,bcase
CattafestaL,"Cattafesta, Louis N.",http://id.loc.gov/authorities/names/no2006067722,lcattafesta
CattsH,"Catts, Hugh W.",http://id.loc.gov/authorities/names/n86827244,hcatts
ChadwickB,"Chadwick, Brian P.",http://id.loc.gov/authorities/names/no2015106702,bchadwick
ChagnonJ,"Chagnon, Jeffrey M.",https://authorities.lib.fsu.edu/etd-naf/jchagnon,jchagnon
ChakrabortyS,"Chakraborty, Shayok",https://authorities.lib.fsu.edu/etd-naf/schakraborty2,schakraborty2
ChandlerY,"Chandler, YuellIV",https://authorities.lib.fsu.edu/etd-naf/ychandler,ychandler
ChantonJ,"Chanton, Jeffrey P.",http://id.loc.gov/authorities/names/n89605460,jchanton
ChapinT,"Chapin, Timothy Stewart",http://id.loc.gov/authorities/names/no00026762,tchapin
CharnessN,"Charness, Neil",http://id.loc.gov/authorities/names/n84205728,ncharness
ChaseP,"Chase, P. Bryant",https://authorities.lib.fsu.edu/etd-naf/pchase,pchase
ChassignetE,"Chassignet, Eric P.",http://id.loc.gov/authorities/names/n98061219,echassignet
CheethamP,"Cheetham, Peter",https://authorities.lib.fsu.edu/etd-naf/pc14f,pc14f
ChellaR,"Chella, Ravindran",https://authorities.lib.fsu.edu/etd-naf/rchella,rchella
ChenG,"Chen, Gang",http://id.loc.gov/authorities/names/nr99008251,gchen2
ChengY,"Cheng, Yingmei",http://viaf.org/viaf/217509953,ycheng
ChickenE,"Chicken, Eric",http://id.loc.gov/authorities/names/n2013023510,echicken
ChiorescuI,"Chiorescu, Irinel",https://authorities.lib.fsu.edu/etd-naf/ichiorescu,ichiorescu
ChiricosT,"Chiricos, Theodore G.",http://id.loc.gov/authorities/names/no2002073514,tchiricos
ChowG,"Chow, Graig Michael",https://authorities.lib.fsu.edu/etd-naf/gchow,gchow
ChristieD,"Christie, Donna R.",http://id.loc.gov/authorities/names/n85212109,dchristi
ChungH,"Chung, Hoyong",https://authorities.lib.fsu.edu/etd-naf/hchung,hchung
ClarkC,"Clark, Clayton J.",http://id.loc.gov/authorities/names/n2006047059,cjclark
ClarkJ,"Clark, James J.",http://id.loc.gov/authorities/names/nb2005011735,jclark5
ClarkJ,"Clark, Jessica Homan",http://id.loc.gov/authorities/names/no2008131664,jhclark
ClarkJ,"Clark, Jonathan E.",https://authorities.lib.fsu.edu/etd-naf/clarkj,clarkj
ClarkK,"Clark, Kathleen",http://id.loc.gov/authorities/names/nb2016004418,kclark
ClarkeA,"Clarke, Allan J.",http://id.loc.gov/authorities/names/nb2008007568,aclarke
ClarkeR,"Clarke, Randolph K.",http://id.loc.gov/authorities/names/nr90006375,rkclarke
ClaryR,"Clary, Richard",http://id.loc.gov/authorities/names/no2001101951,rclary
ClaytonR,"Clayton, Russell B.",http://id.loc.gov/authorities/names/no2016122444,rclayton
ClemonsK,"Clemons, Kristal Moore",https://authorities.lib.fsu.edu/etd-naf/ktmoore,ktmoore
ClendinningJ,"Clendinning, Jane Piper",http://id.loc.gov/authorities/names/nr97008870,jclendinning
CoganN,"Cogan, Nicholas G.",http://id.loc.gov/authorities/names/nr2003034196,ncogan
ColdironA,"Coldiron, A. E. B.",http://id.loc.gov/authorities/names/n00038285,acoldiron
ColeC,"Cole, Cassandra R.",https://authorities.lib.fsu.edu/etd-naf/ccole,ccole
ColemanE,"Coleman, Eric A.(Professor of Political Science)",https://authorities.lib.fsu.edu/etd-naf/ecoleman,ecoleman
CollinsD,"Collins, David C.",https://authorities.lib.fsu.edu/etd-naf/dccollins,dccollins
CollinsE,"Collins, E.",http://id.loc.gov/authorities/names/n85020568,ecollins
ComptonD,"Compton, Donald L.",http://id.loc.gov/authorities/names/n2012058529,dcompton
ContrerasR,"Contreras, Robert J.",https://authorities.lib.fsu.edu/etd-naf/rcontreras,rcontreras
ConwayP,"Conway, Paul(Psychology Professor)",https://authorities.lib.fsu.edu/etd-naf/conway,conway
CooleyL,"Cooley, L.",http://id.loc.gov/authorities/names/no2015022073,ldcooley
CooperD,"Cooper, David J.",https://authorities.lib.fsu.edu/etd-naf/djcooper,djcooper
CooperW,"Cooper, William T.",http://id.loc.gov/authorities/names/n85053810,wcooper
CoppJ,"Copp, Jennifer E.",https://authorities.lib.fsu.edu/etd-naf/jcopp,jcopp
CorriganJ,"Corrigan, John",http://id.loc.gov/authorities/names/n85275076,jcorrigan
CorteseJ,"Cortese, Juliann",http://id.loc.gov/authorities/names/n2007015761,jcortese
CottinetP,"Cottinet, Pierre-Jean",https://authorities.lib.fsu.edu/etd-naf/pcottinet,pcottinet
CougleJ,"Cougle, Jesse R.",https://authorities.lib.fsu.edu/etd-naf/jcougle,jcougle
CouttsC,"Coutts, Christopher",http://id.loc.gov/authorities/names/n2010074127,ccoutts
CoxB,"Cox, Bradley E.",http://id.loc.gov/authorities/names/n2004141559,bcox2
Coxwell-TeagueD,"Coxwell-Teague, Deborah",http://id.loc.gov/authorities/names/n2010065226,dteague
CredeV,"Crede, Volker",http://id.loc.gov/authorities/names/no2006101904,vcrede
CreswellM,"Creswell, Michael",http://id.loc.gov/authorities/names/n2006041794,mcreswell
CrewR,"Crew, Robert E.",http://id.loc.gov/authorities/names/n88137827,rcrew
CrillP,"Crill, Patrick",http://id.loc.gov/authorities/names/n2002010874,nf-pcrill
