File|NameKey|IndirectName|Family|Given|Terms|Role
Christmann_fsu_0071E_17553.pdf|BukoskiM|Bukoski, Michael|Bukoski|Michael||Committee Member
Christmann_fsu_0071E_17553.pdf|HinchmanE|Hinchman, Edward|Hinchman|Edward||Committee Member
CollinsElliott_fsu_0071E_17545.pdf|KelleyN|Kelley, Nicole|Kelley|Nicole||Professor Directing Dissertation
CollinsElliott_fsu_0071E_17545.pdf|Slaveva-GriffinS|Slaveva-Griffin, Svetoslava|Slaveva-Griffin|Svetoslava||University Representative
CollinsElliott_fsu_0071E_17545.pdf|GoffM|Goff, Matthew|Goff|Matthew||Committee Member
CollinsElliott_fsu_0071E_17545.pdf|LevensonD|Levenson, David|Levenson|David||Committee Member
Cooper_fsu_0071E_17591.pdf|DePrinceA|DePrince, A. Eugene|DePrince|A. Eugene|III|Professor Directing Dissertation
Cooper_fsu_0071E_17591.pdf|PiekarewiczJ|Piekarewicz, Jorge|Piekarewicz|Jorge||University Representative
Cooper_fsu_0071E_17591.pdf|SteinbockO|Steinbock, Oliver|Steinbock|Oliver||Committee Member
Cooper_fsu_0071E_17591.pdf|YangW|Yang, Wei|Yang|Wei||Committee Member
Cory_fsu_0071E_17411.pdf|ChantonJ|Chanton, Jeffrey P.|Chanton|Jeffrey P.||Professor Directing Dissertation
Cory_fsu_0071E_17411.pdf|SoutherlandS|Southerland, Sherry A.|Southerland|Sherry A.||University Representative
Cory_fsu_0071E_17411.pdf|SpencerR|Spencer, Robert G. M.|Spencer|Robert G. M.||Committee Member
Cory_fsu_0071E_17411.pdf|WilsonR|Wilson, Rachel M.|Wilson|Rachel M.||Committee Member
Cory_fsu_0071E_17411.pdf|LandingW|Landing, William M.|Landing|William M.||Committee Member
Daucourt_fsu_0071E_17412.pdf|HartS|Hart, Sara A.|Hart|Sara A.||Professor Directing Dissertation
Daucourt_fsu_0071E_17412.pdf|PhillipsB|Phillips, Beth M.|Phillips|Beth M.||University Representative
Daucourt_fsu_0071E_17412.pdf|ComptonD|Compton, Don L.|Compton|Don L.||Committee Member
Daucourt_fsu_0071E_17412.pdf|SchatschneiderC|Schatschneider, Chris|Schatschneider|Chris||Committee Member
Daucourt_fsu_0071E_17412.pdf|BootW|Boot, Walter|Boot|Walter||Committee Member
Dawson_fsu_0071E_17510.pdf|BerrymanC|Berryman, Claire E.|Berryman|Claire E.||Professor Co-Directing Dissertation
Dawson_fsu_0071E_17510.pdf|NagpalR|Nagpal, Ravinder|Nagpal|Ravinder||Professor Co-Directing Dissertation
Dawson_fsu_0071E_17510.pdf|CaoH|Cao, Hongyuan|Cao|Hongyuan||University Representative
