050	100	245	502	650	856	904
PL8010	Finet, Alexis C., author	From Indépendance Cha-Cha to Le Jour d'Après : Liquid Sounds in a Phonological /Kongo/ as Seen through the Works of Post-Independence Poets, Novelists, and Sound Artists / by Alexis C. Finet	Ph.D. Florida State University 2022.	African literature	https://purl.lib.fsu.edu/diginole/2022_Summer_Finet_fsu_0071E_17278	4
QC173.45	Franco-Rivera, Giovanni, author	Spin-Photon Strong Coupling of a Diluted Spin Ensemble Using on-Chip Superconducting Resonators / by Giovanni Franco-Rivera	Ph.D. Florida State University 2022.	Condensed matter	https://purl.lib.fsu.edu/diginole/2022_Summer_FrancoRivera_fsu_0071E_17368	0
TA170	Gallan, Rachel O. (Rachel Olivia), author	Degradation of Per- and Polyfluoroalkyl Substances with Nonthermal Plasma in a Gas-Liquid Film Reactor / by Rachel O. Gallan	M.S. Florida State University 2022.	Engineering	https://purl.lib.fsu.edu/diginole/2022_Summer_Gallan_fsu_0071N_16954	4
HM	Gaulden, Shawn, author	Misinformation, Leading Tasks, and Echo Chambers within the #Nevertrump and #Neverhillary Movements / by Shawn Gaulden	Ph.D. Florida State University 2022.	Sociology	https://purl.lib.fsu.edu/diginole/2022_Summer_Gaulden_fsu_0071E_17191	0
ML3920	Girala, Analia Marisol, author	The Use of Music Therapy in Addressing Communication Goals with Multilingual Clients with Communication Disabilities / by Analia Marisol Girala	M.M. Florida State University 2022.	Music therapy	https://purl.lib.fsu.edu/diginole/2022_Summer_Girala_fsu_0071N_17458	0
CC165	Gray, Michelle C. (Michelle Christine), author	African and Afro-Caribbean Cultural Identity, Vessel Function, and Inter-Island Connectedness in Eighteenth- to Nineteenth-Century St. Croix, Us Virgin Islands / by Michelle C. Gray	M.S. Florida State University 2022.	Archaeology	https://purl.lib.fsu.edu/diginole/2022_Summer_Gray_fsu_0071N_17253	0
NK1105	Greenwood, Laura Ann (Laura Ann), author	Improving Wellbeing : Facilitating Comfortable Life Transitions in the Nursing Home / by Laura Ann Greenwood	M.F.A. Florida State University 2022.	Design	https://purl.lib.fsu.edu/diginole/2022_Summer_Greenwood_fsu_0071N_17335	0
LB1051	Ha, Cheyeon, author	Culturally Relevant Reading for Supporting Underserved Children's Prosocial Self-Efficacy and Reading Skills : A Transformative Social-Emotional Learning Approach / by Cheyeon Ha	Ph.D. Florida State University 2022.	Educational psychology	https://purl.lib.fsu.edu/diginole/2022_Summer_Ha_fsu_0071E_17377	0
QC	Habibullah, Redwan Md, author	Search for a Light Pseudoscalar Higgs Boson in the Two Higgs Doublet Model and Operations, Commissioning of the CMS Phase-1 Pixel Detector / by Redwan Md Habibullah	Ph.D. Florida State University 2022.	Physics	https://purl.lib.fsu.edu/diginole/2022_Summer_Habibullah_fsu_0071E_17284	0
QA276.A2	Han, Qing, author	Application Studies of Machine Learning in Breast Cancer Prevention Assessment and Deep Learning in Natural Language Processing / by Qing Han	Ph.D. Florida State University 2022.	Statistics	https://purl.lib.fsu.edu/diginole/2022_Summer_Han_fsu_0071E_17345	0
QH91	Hardin, Emily E. (Emily Elizabeth), author	Comparison of Acoustic and Satellite Telemetry as Methods for Quantifying Space Use of Marine Species / by Emily E. Hardin	M.S. Florida State University 2022.	Marine biology	https://purl.lib.fsu.edu/diginole/2022_Summer_Hardin_fsu_0071N_17008	0
HB1	Holland, Morgan (Morgan Brady), author	Essays in Macroeconomics : Monitoring in Debt Contracts and the Distributional Implications of Automation / by Morgan Holland	Ph.D. Florida State University 2022.	Economics	https://purl.lib.fsu.edu/diginole/2022_Summer_Holland_fsu_0071E_17142	0
QH541	Holzheuser, Chace, author	Decline and Population Status of Desmognathine Salamanders in Florida / by Chace Holzheuser	Ph.D. Florida State University 2022.	Ecology	https://purl.lib.fsu.edu/diginole/2022_Summer_Holzheuser_fsu_0071E_17389	0
QC	Hu, Tianqi, author	Measurements of γp → pη Differential Cross Sections and γp → pω Differential Cross Sections and Spin Density Matrix Elements ρ0, ρ3 Using CLAS at Jefferson Lab : A Study of the Production Mechanisms / by Tianqi Hu	Ph.D. Florida State University 2022.	Physics	https://purl.lib.fsu.edu/diginole/2022_Summer_Hu_fsu_0071E_17310	0
RC466.8	Irwin, Lauren N. (Lauren Nicole), author	Does Training Working Memory or Inhibitory Control Produce Far Transfer Improvements in Set Shifting for Children with ADHD? / by Lauren N. Irwin	Ph.D. Florida State University 2021.	Clinical psychology	https://purl.lib.fsu.edu/diginole/2022_Summer_Irwin_fsu_0071E_16881	4
